/news/2022/10/05/puertorico/,Байдена снова уличили во лжи о своем прошлом,"00:02, 5 октября 2022"," Байдена снова уличили во лжи о своем прошломNYP: Байден соврал о работе с общиной пуэрториканцев в начале карьерыФото: Evelyn Hockstein / ReutersПрезидент США Джо Байден соврал о работе с общиной пуэрториканцев в штате Делавэр в начале карьеры. Об этом пишет  New York Post.«У Байдена есть привычка приукрашивать свою принадлежность к аудитории, перед которой он выступает. Речь на южном побережье острова не стала исключением», — говорится в материале.Накануне американский лидер в ходе выступления в Пуэрто-Рико рассказал о том, что в штате Делавэр в начале его политической карьеры жила крупная община пуэрториканцев, поэтому он «вырос среди них».Журналисты NYP опровергли его заявление, отметив, что Байден был впервые избран в Сенат США в 1972 году. Согласно переписи населения США за 1970 год, в Делавэре проживали около 2 154 пуэрториканцев, что составляет 0,39 процента от всего населения штата.Байден с супругой Джилл посетили Пуэрто-Рико, которое серьезно пострадало после урагана «Фиона», 3 октября. Стихийное бедствие оставило без света всю территорию страны.СШАДжо Байденштате ДелавэрПуэрто-РикоСенат США Байдена снова уличили во лжи о своем прошломNYP: Байден соврал о работе с общиной пуэрториканцев в начале карьерыФото: Evelyn Hockstein / ReutersПрезидент США Джо Байден соврал о работе с общиной пуэрториканцев в штате Делавэр в начале карьеры. Об этом пишет  New York Post.«У Байдена есть привычка приукрашивать свою принадлежность к аудитории, перед которой он выступает. Речь на южном побережье острова не стала исключением», — говорится в материале.Накануне американский лидер в ходе выступления в Пуэрто-Рико рассказал о том, что в штате Делавэр в начале его политической карьеры жила крупная община пуэрториканцев, поэтому он «вырос среди них».Журналисты NYP опровергли его заявление, отметив, что Байден был впервые избран в Сенат США в 1972 году. Согласно переписи населения США за 1970 год, в Делавэре проживали около 2 154 пуэрториканцев, что составляет 0,39 процента от всего населения штата.Байден с супругой Джилл посетили Пуэрто-Рико, которое серьезно пострадало после урагана «Фиона», 3 октября. Стихийное бедствие оставило без света всю территорию страны.СШАДжо Байденштате ДелавэрПуэрто-РикоСенат США Байдена снова уличили во лжи о своем прошломNYP: Байден соврал о работе с общиной пуэрториканцев в начале карьерыФото: Evelyn Hockstein / ReutersПрезидент США Джо Байден соврал о работе с общиной пуэрториканцев в штате Делавэр в начале карьеры. Об этом пишет  New York Post.«У Байдена есть привычка приукрашивать свою принадлежность к аудитории, перед которой он выступает. Речь на южном побережье острова не стала исключением», — говорится в материале.Накануне американский лидер в ходе выступления в Пуэрто-Рико рассказал о том, что в штате Делавэр в начале его политической карьеры жила крупная община пуэрториканцев, поэтому он «вырос среди них».Журналисты NYP опровергли его заявление, отметив, что Байден был впервые избран в Сенат США в 1972 году. Согласно переписи населения США за 1970 год, в Делавэре проживали около 2 154 пуэрториканцев, что составляет 0,39 процента от всего населения штата.Байден с супругой Джилл посетили Пуэрто-Рико, которое серьезно пострадало после урагана «Фиона», 3 октября. Стихийное бедствие оставило без света всю территорию страны.СШАДжо Байденштате ДелавэрПуэрто-РикоСенат США Байдена снова уличили во лжи о своем прошломNYP: Байден соврал о работе с общиной пуэрториканцев в начале карьерыФото: Evelyn Hockstein / ReutersПрезидент США Джо Байден соврал о работе с общиной пуэрториканцев в штате Делавэр в начале карьеры. Об этом пишет  New York Post.«У Байдена есть привычка приукрашивать свою принадлежность к аудитории, перед которой он выступает. Речь на южном побережье острова не стала исключением», — говорится в материале.Накануне американский лидер в ходе выступления в Пуэрто-Рико рассказал о том, что в штате Делавэр в начале его политической карьеры жила крупная община пуэрториканцев, поэтому он «вырос среди них».Журналисты NYP опровергли его заявление, отметив, что Байден был впервые избран в Сенат США в 1972 году. Согласно переписи населения США за 1970 год, в Делавэре проживали около 2 154 пуэрториканцев, что составляет 0,39 процента от всего населения штата.Байден с супругой Джилл посетили Пуэрто-Рико, которое серьезно пострадало после урагана «Фиона», 3 октября. Стихийное бедствие оставило без света всю территорию страны.СШАДжо Байденштате ДелавэрПуэрто-РикоСенат США"
/news/2022/10/05/sholtz/,Германия заявила о готовности обеспечить свою энергобезопасность,"00:03, 5 октября 2022"," Германия заявила о готовности обеспечить свою энергобезопасностьКанцлер ФРГ Шольц заявил о готовности страны обеспечить свою энергобезопасностьОлаф Шольц. Фото: Imago / Global Look PressГермания готова обеспечить свою безопасность в области энергетики вне зависимости от инцидента на «Северных потоках». Об этом сообщил канцлер ФРГ Олаф Шольц на пресс-конференции по итогам совещания с главами правительств федеральных земель, передает РИА Новости.«Германия, пожалуй, сможет обеспечивать свою энергобезопасность, несмотря на то что нет больше газа, который шел бы из России в Германию через трубопроводы, и то, что мы узнали о драматичных разрушениях в некоторых из них в Балтийском море», — отметил Шольц.Немецкий лидер подчеркнул достижения ФРГ в виде новых договоров по импорту газа, постройки резервуаров для СПГ и уровня заполненности газовых хранилищ до 92 процентов. Помимо этого, канцлер ФРГ упомянул, что Берлин и федеральные земли пришли к соглашению по стабилизации энергокризиса в стране пакетами помощи стоимостью в 250 миллиардов евро.26 сентября Шольц подписал соглашение на поставки сжиженного газа из ОАЭ. Ожидается, что газ поступит на плавучий терминал по приему СПГ в Брунсбюттеле на севере Германии.ГерманияОлаф ШольцРИА НовостиРоссииподписалОАЭ Германия заявила о готовности обеспечить свою энергобезопасностьКанцлер ФРГ Шольц заявил о готовности страны обеспечить свою энергобезопасностьОлаф Шольц. Фото: Imago / Global Look PressГермания готова обеспечить свою безопасность в области энергетики вне зависимости от инцидента на «Северных потоках». Об этом сообщил канцлер ФРГ Олаф Шольц на пресс-конференции по итогам совещания с главами правительств федеральных земель, передает РИА Новости.«Германия, пожалуй, сможет обеспечивать свою энергобезопасность, несмотря на то что нет больше газа, который шел бы из России в Германию через трубопроводы, и то, что мы узнали о драматичных разрушениях в некоторых из них в Балтийском море», — отметил Шольц.Немецкий лидер подчеркнул достижения ФРГ в виде новых договоров по импорту газа, постройки резервуаров для СПГ и уровня заполненности газовых хранилищ до 92 процентов. Помимо этого, канцлер ФРГ упомянул, что Берлин и федеральные земли пришли к соглашению по стабилизации энергокризиса в стране пакетами помощи стоимостью в 250 миллиардов евро.26 сентября Шольц подписал соглашение на поставки сжиженного газа из ОАЭ. Ожидается, что газ поступит на плавучий терминал по приему СПГ в Брунсбюттеле на севере Германии.ГерманияОлаф ШольцРИА НовостиРоссииподписалОАЭ Германия заявила о готовности обеспечить свою энергобезопасностьКанцлер ФРГ Шольц заявил о готовности страны обеспечить свою энергобезопасностьОлаф Шольц. Фото: Imago / Global Look PressГермания готова обеспечить свою безопасность в области энергетики вне зависимости от инцидента на «Северных потоках». Об этом сообщил канцлер ФРГ Олаф Шольц на пресс-конференции по итогам совещания с главами правительств федеральных земель, передает РИА Новости.«Германия, пожалуй, сможет обеспечивать свою энергобезопасность, несмотря на то что нет больше газа, который шел бы из России в Германию через трубопроводы, и то, что мы узнали о драматичных разрушениях в некоторых из них в Балтийском море», — отметил Шольц.Немецкий лидер подчеркнул достижения ФРГ в виде новых договоров по импорту газа, постройки резервуаров для СПГ и уровня заполненности газовых хранилищ до 92 процентов. Помимо этого, канцлер ФРГ упомянул, что Берлин и федеральные земли пришли к соглашению по стабилизации энергокризиса в стране пакетами помощи стоимостью в 250 миллиардов евро.26 сентября Шольц подписал соглашение на поставки сжиженного газа из ОАЭ. Ожидается, что газ поступит на плавучий терминал по приему СПГ в Брунсбюттеле на севере Германии.ГерманияОлаф ШольцРИА НовостиРоссииподписалОАЭ Германия заявила о готовности обеспечить свою энергобезопасностьКанцлер ФРГ Шольц заявил о готовности страны обеспечить свою энергобезопасностьОлаф Шольц. Фото: Imago / Global Look PressГермания готова обеспечить свою безопасность в области энергетики вне зависимости от инцидента на «Северных потоках». Об этом сообщил канцлер ФРГ Олаф Шольц на пресс-конференции по итогам совещания с главами правительств федеральных земель, передает РИА Новости.«Германия, пожалуй, сможет обеспечивать свою энергобезопасность, несмотря на то что нет больше газа, который шел бы из России в Германию через трубопроводы, и то, что мы узнали о драматичных разрушениях в некоторых из них в Балтийском море», — отметил Шольц.Немецкий лидер подчеркнул достижения ФРГ в виде новых договоров по импорту газа, постройки резервуаров для СПГ и уровня заполненности газовых хранилищ до 92 процентов. Помимо этого, канцлер ФРГ упомянул, что Берлин и федеральные земли пришли к соглашению по стабилизации энергокризиса в стране пакетами помощи стоимостью в 250 миллиардов евро.26 сентября Шольц подписал соглашение на поставки сжиженного газа из ОАЭ. Ожидается, что газ поступит на плавучий терминал по приему СПГ в Брунсбюттеле на севере Германии.ГерманияОлаф ШольцРИА НовостиРоссииподписалОАЭ"
/news/2022/10/05/int_bar/,«Интер» обыграл «Барселону» в матче Лиги чемпионов,"00:07, 5 октября 2022"," «Интер» обыграл «Барселону» в матче Лиги чемпионов«Интер» обыграл «Барселону» со счетом 1:0 в матче третьего тура Лиги чемпионовФото: ReutersИтальянский «Интер» обыграл испанскую «Барселону» в матче третьего тура Лиги чемпионов. Об этом сообщает корреспондент «Ленты.ру».Встреча прошла в Милане и завершилась со счетом 1:0. На второй добавленной к первому тайму минуте голом отличился полузащитник Хакан Чалханоглу.Таким образом, после двух матчей «Бавария» лидирует в турнирной таблице группы С, набрав девять очков. «Интер» занимает второе место с шестью очками. «Барселона» располагается на третьем месте с тремя очками.В следующем туре «Барселона» вновь встретится с «Интером», но уже дома. Встреча пройдет 12 октября.МиланеХакан Чалханоглу «Интер» обыграл «Барселону» в матче Лиги чемпионов«Интер» обыграл «Барселону» со счетом 1:0 в матче третьего тура Лиги чемпионовФото: ReutersИтальянский «Интер» обыграл испанскую «Барселону» в матче третьего тура Лиги чемпионов. Об этом сообщает корреспондент «Ленты.ру».Встреча прошла в Милане и завершилась со счетом 1:0. На второй добавленной к первому тайму минуте голом отличился полузащитник Хакан Чалханоглу.Таким образом, после двух матчей «Бавария» лидирует в турнирной таблице группы С, набрав девять очков. «Интер» занимает второе место с шестью очками. «Барселона» располагается на третьем месте с тремя очками.В следующем туре «Барселона» вновь встретится с «Интером», но уже дома. Встреча пройдет 12 октября.МиланеХакан Чалханоглу «Интер» обыграл «Барселону» в матче Лиги чемпионов«Интер» обыграл «Барселону» со счетом 1:0 в матче третьего тура Лиги чемпионовФото: ReutersИтальянский «Интер» обыграл испанскую «Барселону» в матче третьего тура Лиги чемпионов. Об этом сообщает корреспондент «Ленты.ру».Встреча прошла в Милане и завершилась со счетом 1:0. На второй добавленной к первому тайму минуте голом отличился полузащитник Хакан Чалханоглу.Таким образом, после двух матчей «Бавария» лидирует в турнирной таблице группы С, набрав девять очков. «Интер» занимает второе место с шестью очками. «Барселона» располагается на третьем месте с тремя очками.В следующем туре «Барселона» вновь встретится с «Интером», но уже дома. Встреча пройдет 12 октября.МиланеХакан Чалханоглу «Интер» обыграл «Барселону» в матче Лиги чемпионов«Интер» обыграл «Барселону» со счетом 1:0 в матче третьего тура Лиги чемпионовФото: ReutersИтальянский «Интер» обыграл испанскую «Барселону» в матче третьего тура Лиги чемпионов. Об этом сообщает корреспондент «Ленты.ру».Встреча прошла в Милане и завершилась со счетом 1:0. На второй добавленной к первому тайму минуте голом отличился полузащитник Хакан Чалханоглу.Таким образом, после двух матчей «Бавария» лидирует в турнирной таблице группы С, набрав девять очков. «Интер» занимает второе место с шестью очками. «Барселона» располагается на третьем месте с тремя очками.В следующем туре «Барселона» вновь встретится с «Интером», но уже дома. Встреча пройдет 12 октября.МиланеХакан Чалханоглу"
/news/2022/10/05/electro_m/,Рынку электромобилей предсказали крах,"00:15, 5 октября 2022"," Рынку электромобилей предсказали крахВ VentureBeat назвали полный переход на электромобили невозможным без удешевления машинФото: Jan Woitas / Globallookpress.comОтказ от автомобилей с двигателем внутреннего сгорания невозможен без технической революции в сегменте электрокаров. Об этом сообщает издание VentureBeatПо словам колумниста медиа и генерального директора Conamix Шарлотты Гамильтон, планы по полному переходу на электромобили могут оказаться неосуществимы без модернизации отрасли. Специалист предсказала крах рынку электрокаров в случае, если ведущие компании не изобретут новые методы производства аккумуляторов и не смогут снизить стоимость машин на электрической тяге.Гамильтон отметила, что в первую очередь автоконцерны должны придумать, как отказаться от кобальта и никеля при производстве электрокаров, так как эти материалы становятся дефицитными и очень дорогими. По словам специалистки, власти Калифорнии намерены запретить продажи традиционных автомобилей к 2035 году, однако в этом случае наступит кризис, так как батарей для всех машин не хватит.«Чтобы снизить затраты на анодную часть батареи, можно было бы перейти на альтернативные материалы — например, литий, или использовать кремний», — отметила Шарлотта Гамильтон. По ее словам, цель будет достигнута, когда выпускник колледжа или мелкий предприниматель смогут позволить себе новый электромобиль — для повседневного использования или бизнеса.В июне представители крупнейшего европейского автопроизводителя Stellantis заявили, что при нынешних ценах рынок электрокаров ждет крах. Также эксперты отметили, что с 2024 по 2027 год спрос на аккумуляторы для автомобилей вырастет.сообщаетзаявили Рынку электромобилей предсказали крахВ VentureBeat назвали полный переход на электромобили невозможным без удешевления машинФото: Jan Woitas / Globallookpress.comОтказ от автомобилей с двигателем внутреннего сгорания невозможен без технической революции в сегменте электрокаров. Об этом сообщает издание VentureBeatПо словам колумниста медиа и генерального директора Conamix Шарлотты Гамильтон, планы по полному переходу на электромобили могут оказаться неосуществимы без модернизации отрасли. Специалист предсказала крах рынку электрокаров в случае, если ведущие компании не изобретут новые методы производства аккумуляторов и не смогут снизить стоимость машин на электрической тяге.Гамильтон отметила, что в первую очередь автоконцерны должны придумать, как отказаться от кобальта и никеля при производстве электрокаров, так как эти материалы становятся дефицитными и очень дорогими. По словам специалистки, власти Калифорнии намерены запретить продажи традиционных автомобилей к 2035 году, однако в этом случае наступит кризис, так как батарей для всех машин не хватит.«Чтобы снизить затраты на анодную часть батареи, можно было бы перейти на альтернативные материалы — например, литий, или использовать кремний», — отметила Шарлотта Гамильтон. По ее словам, цель будет достигнута, когда выпускник колледжа или мелкий предприниматель смогут позволить себе новый электромобиль — для повседневного использования или бизнеса.В июне представители крупнейшего европейского автопроизводителя Stellantis заявили, что при нынешних ценах рынок электрокаров ждет крах. Также эксперты отметили, что с 2024 по 2027 год спрос на аккумуляторы для автомобилей вырастет.сообщаетзаявили Рынку электромобилей предсказали крахВ VentureBeat назвали полный переход на электромобили невозможным без удешевления машинФото: Jan Woitas / Globallookpress.comОтказ от автомобилей с двигателем внутреннего сгорания невозможен без технической революции в сегменте электрокаров. Об этом сообщает издание VentureBeatПо словам колумниста медиа и генерального директора Conamix Шарлотты Гамильтон, планы по полному переходу на электромобили могут оказаться неосуществимы без модернизации отрасли. Специалист предсказала крах рынку электрокаров в случае, если ведущие компании не изобретут новые методы производства аккумуляторов и не смогут снизить стоимость машин на электрической тяге.Гамильтон отметила, что в первую очередь автоконцерны должны придумать, как отказаться от кобальта и никеля при производстве электрокаров, так как эти материалы становятся дефицитными и очень дорогими. По словам специалистки, власти Калифорнии намерены запретить продажи традиционных автомобилей к 2035 году, однако в этом случае наступит кризис, так как батарей для всех машин не хватит.«Чтобы снизить затраты на анодную часть батареи, можно было бы перейти на альтернативные материалы — например, литий, или использовать кремний», — отметила Шарлотта Гамильтон. По ее словам, цель будет достигнута, когда выпускник колледжа или мелкий предприниматель смогут позволить себе новый электромобиль — для повседневного использования или бизнеса.В июне представители крупнейшего европейского автопроизводителя Stellantis заявили, что при нынешних ценах рынок электрокаров ждет крах. Также эксперты отметили, что с 2024 по 2027 год спрос на аккумуляторы для автомобилей вырастет.сообщаетзаявили Рынку электромобилей предсказали крахВ VentureBeat назвали полный переход на электромобили невозможным без удешевления машинФото: Jan Woitas / Globallookpress.comОтказ от автомобилей с двигателем внутреннего сгорания невозможен без технической революции в сегменте электрокаров. Об этом сообщает издание VentureBeatПо словам колумниста медиа и генерального директора Conamix Шарлотты Гамильтон, планы по полному переходу на электромобили могут оказаться неосуществимы без модернизации отрасли. Специалист предсказала крах рынку электрокаров в случае, если ведущие компании не изобретут новые методы производства аккумуляторов и не смогут снизить стоимость машин на электрической тяге.Гамильтон отметила, что в первую очередь автоконцерны должны придумать, как отказаться от кобальта и никеля при производстве электрокаров, так как эти материалы становятся дефицитными и очень дорогими. По словам специалистки, власти Калифорнии намерены запретить продажи традиционных автомобилей к 2035 году, однако в этом случае наступит кризис, так как батарей для всех машин не хватит.«Чтобы снизить затраты на анодную часть батареи, можно было бы перейти на альтернативные материалы — например, литий, или использовать кремний», — отметила Шарлотта Гамильтон. По ее словам, цель будет достигнута, когда выпускник колледжа или мелкий предприниматель смогут позволить себе новый электромобиль — для повседневного использования или бизнеса.В июне представители крупнейшего европейского автопроизводителя Stellantis заявили, что при нынешних ценах рынок электрокаров ждет крах. Также эксперты отметили, что с 2024 по 2027 год спрос на аккумуляторы для автомобилей вырастет.сообщаетзаявили"
/news/2022/10/05/gasgas/,В Европарламенте спрогнозировали ситуацию с газом зимой,"00:30, 5 октября 2022"," В Европарламенте спрогнозировали ситуацию с газом зимойЕврокомиссар Симсон: страны ЕС переживут зиму без российского газа, если она будет мягкойФото: Maksim Konstantinov / Global Look PressЕврокомиссар по энергетике Кадри Симсон на заседании комитета Европарламента заявила, что европейские страны смогут обойтись без российского газа предстоящей зимой. Об этом сообщает Reuters.По прогнозу Симсон, у стран Евросоюза (ЕС) достаточно запасов, чтобы пережить ситуацию без поставок российского газа при мягкой погоде.Американские производители сжиженного природного газа (СПГ) в сентябре увеличили поставки европейским клиентам до 4,37 миллиона тонн, хотя и не вывели их на полную мощность.Ранее канцлер ФРГ Шольц отметил, что Германия готова обеспечить свою безопасность в области энергетики вне зависимости от инцидента на «Северных потоках».ЕвропарламентаReutersЕвросоюзаувеличилиФРГотметил В Европарламенте спрогнозировали ситуацию с газом зимойЕврокомиссар Симсон: страны ЕС переживут зиму без российского газа, если она будет мягкойФото: Maksim Konstantinov / Global Look PressЕврокомиссар по энергетике Кадри Симсон на заседании комитета Европарламента заявила, что европейские страны смогут обойтись без российского газа предстоящей зимой. Об этом сообщает Reuters.По прогнозу Симсон, у стран Евросоюза (ЕС) достаточно запасов, чтобы пережить ситуацию без поставок российского газа при мягкой погоде.Американские производители сжиженного природного газа (СПГ) в сентябре увеличили поставки европейским клиентам до 4,37 миллиона тонн, хотя и не вывели их на полную мощность.Ранее канцлер ФРГ Шольц отметил, что Германия готова обеспечить свою безопасность в области энергетики вне зависимости от инцидента на «Северных потоках».ЕвропарламентаReutersЕвросоюзаувеличилиФРГотметил В Европарламенте спрогнозировали ситуацию с газом зимойЕврокомиссар Симсон: страны ЕС переживут зиму без российского газа, если она будет мягкойФото: Maksim Konstantinov / Global Look PressЕврокомиссар по энергетике Кадри Симсон на заседании комитета Европарламента заявила, что европейские страны смогут обойтись без российского газа предстоящей зимой. Об этом сообщает Reuters.По прогнозу Симсон, у стран Евросоюза (ЕС) достаточно запасов, чтобы пережить ситуацию без поставок российского газа при мягкой погоде.Американские производители сжиженного природного газа (СПГ) в сентябре увеличили поставки европейским клиентам до 4,37 миллиона тонн, хотя и не вывели их на полную мощность.Ранее канцлер ФРГ Шольц отметил, что Германия готова обеспечить свою безопасность в области энергетики вне зависимости от инцидента на «Северных потоках».ЕвропарламентаReutersЕвросоюзаувеличилиФРГотметил В Европарламенте спрогнозировали ситуацию с газом зимойЕврокомиссар Симсон: страны ЕС переживут зиму без российского газа, если она будет мягкойФото: Maksim Konstantinov / Global Look PressЕврокомиссар по энергетике Кадри Симсон на заседании комитета Европарламента заявила, что европейские страны смогут обойтись без российского газа предстоящей зимой. Об этом сообщает Reuters.По прогнозу Симсон, у стран Евросоюза (ЕС) достаточно запасов, чтобы пережить ситуацию без поставок российского газа при мягкой погоде.Американские производители сжиженного природного газа (СПГ) в сентябре увеличили поставки европейским клиентам до 4,37 миллиона тонн, хотя и не вывели их на полную мощность.Ранее канцлер ФРГ Шольц отметил, что Германия готова обеспечить свою безопасность в области энергетики вне зависимости от инцидента на «Северных потоках».ЕвропарламентаReutersЕвросоюзаувеличилиФРГотметил"
/news/2022/10/05/hungary/,Страна Евросоюза добилась исключения из потолка цен на российскую нефть,"00:35, 5 октября 2022"," Страна Евросоюза добилась исключения из потолка цен на российскую нефтьГлава МИД Венгрии: потолок цен не будет распространяться на трубопроводную нефть из РоссииСюжетСанкции против России:Петер Сийярто. Фото: ReutersВенгрия на совете постпредов стран Евросоюза (ЕС) добилась исключения из потолка цен на российскую нефть — он не будет распространяться на трубопроводную нефть. Об этом глава МИД европейской страны Петер Сийярто сообщил на своей странице в Facebook (запрещенная в РФ соцсеть; принадлежит корпорации Meta, которая признана в РФ экстремистской и запрещена).«Мы упорно вели переговоры и добились того, что ограничение цен на нефть не распространяется на трубопроводные поставки нефти (мы именно так покупаем нефть, необходимую для нашей энергетической безопасности), а в случае чрезвычайной ситуации оно также не распространяется на морской транспорт, заменяющий трубопроводы», — написал Сийярто в социальных сетях.Кроме того, по его словам, Будапешт добился, что новые антироссийские санкции не касались атомной энергетики и строительства атомной электростанции (АЭС) в венгерском Пакше.Ранее стало известно, что постпреды стран Евросоюза достигли договоренности по новому пакету санкций против России, в том числе по введению потолка цен на российскую нефть. По информации дипломатов, финальная версия проекта, включающего ограничение цен на российскую нефть, будет одобрена в среду, 5 октября.СюжетСанкции против России:ВенгрияЕвросоюзаПетер СийяртоРФБудапештстало известно Страна Евросоюза добилась исключения из потолка цен на российскую нефтьГлава МИД Венгрии: потолок цен не будет распространяться на трубопроводную нефть из РоссииСюжетСанкции против России:Петер Сийярто. Фото: ReutersВенгрия на совете постпредов стран Евросоюза (ЕС) добилась исключения из потолка цен на российскую нефть — он не будет распространяться на трубопроводную нефть. Об этом глава МИД европейской страны Петер Сийярто сообщил на своей странице в Facebook (запрещенная в РФ соцсеть; принадлежит корпорации Meta, которая признана в РФ экстремистской и запрещена).«Мы упорно вели переговоры и добились того, что ограничение цен на нефть не распространяется на трубопроводные поставки нефти (мы именно так покупаем нефть, необходимую для нашей энергетической безопасности), а в случае чрезвычайной ситуации оно также не распространяется на морской транспорт, заменяющий трубопроводы», — написал Сийярто в социальных сетях.Кроме того, по его словам, Будапешт добился, что новые антироссийские санкции не касались атомной энергетики и строительства атомной электростанции (АЭС) в венгерском Пакше.Ранее стало известно, что постпреды стран Евросоюза достигли договоренности по новому пакету санкций против России, в том числе по введению потолка цен на российскую нефть. По информации дипломатов, финальная версия проекта, включающего ограничение цен на российскую нефть, будет одобрена в среду, 5 октября.СюжетСанкции против России:ВенгрияЕвросоюзаПетер СийяртоРФБудапештстало известно Страна Евросоюза добилась исключения из потолка цен на российскую нефтьГлава МИД Венгрии: потолок цен не будет распространяться на трубопроводную нефть из РоссииСюжетСанкции против России:Петер Сийярто. Фото: ReutersВенгрия на совете постпредов стран Евросоюза (ЕС) добилась исключения из потолка цен на российскую нефть — он не будет распространяться на трубопроводную нефть. Об этом глава МИД европейской страны Петер Сийярто сообщил на своей странице в Facebook (запрещенная в РФ соцсеть; принадлежит корпорации Meta, которая признана в РФ экстремистской и запрещена).«Мы упорно вели переговоры и добились того, что ограничение цен на нефть не распространяется на трубопроводные поставки нефти (мы именно так покупаем нефть, необходимую для нашей энергетической безопасности), а в случае чрезвычайной ситуации оно также не распространяется на морской транспорт, заменяющий трубопроводы», — написал Сийярто в социальных сетях.Кроме того, по его словам, Будапешт добился, что новые антироссийские санкции не касались атомной энергетики и строительства атомной электростанции (АЭС) в венгерском Пакше.Ранее стало известно, что постпреды стран Евросоюза достигли договоренности по новому пакету санкций против России, в том числе по введению потолка цен на российскую нефть. По информации дипломатов, финальная версия проекта, включающего ограничение цен на российскую нефть, будет одобрена в среду, 5 октября.СюжетСанкции против России:ВенгрияЕвросоюзаПетер СийяртоРФБудапештстало известно Страна Евросоюза добилась исключения из потолка цен на российскую нефтьГлава МИД Венгрии: потолок цен не будет распространяться на трубопроводную нефть из РоссииСюжетСанкции против России:Петер Сийярто. Фото: ReutersВенгрия на совете постпредов стран Евросоюза (ЕС) добилась исключения из потолка цен на российскую нефть — он не будет распространяться на трубопроводную нефть. Об этом глава МИД европейской страны Петер Сийярто сообщил на своей странице в Facebook (запрещенная в РФ соцсеть; принадлежит корпорации Meta, которая признана в РФ экстремистской и запрещена).«Мы упорно вели переговоры и добились того, что ограничение цен на нефть не распространяется на трубопроводные поставки нефти (мы именно так покупаем нефть, необходимую для нашей энергетической безопасности), а в случае чрезвычайной ситуации оно также не распространяется на морской транспорт, заменяющий трубопроводы», — написал Сийярто в социальных сетях.Кроме того, по его словам, Будапешт добился, что новые антироссийские санкции не касались атомной энергетики и строительства атомной электростанции (АЭС) в венгерском Пакше.Ранее стало известно, что постпреды стран Евросоюза достигли договоренности по новому пакету санкций против России, в том числе по введению потолка цен на российскую нефть. По информации дипломатов, финальная версия проекта, включающего ограничение цен на российскую нефть, будет одобрена в среду, 5 октября.СюжетСанкции против России:ВенгрияЕвросоюзаПетер СийяртоРФБудапештстало известно"
